PRIMARY_COM_NAME;SCI_NAME
Spur-winged Goose (Northern);Plectropterus gambensis gambensis
Spur-winged Goose (Southern);Plectropterus gambensis niger
Flying Steamer-Duck;Tachyeres patachonicus
Flightless Steamer-Duck;Tachyeres pteneres
Flightless Steamer-Duck (Chiloe form);Tachyeres pteneres [undescribed form]
Falkland Steamer-Duck;Tachyeres brachypterus
Falkland Steamer-Duck (Flightless);Tachyeres brachypterus (Flightless)
Falkland Steamer-Duck (Flying);Tachyeres brachypterus (Flying)
White-headed Steamer-Duck;Tachyeres leucocephalus
Flying/White-headed Steamer-Duck;Tachyeres patachonicus/leucocephalus
steamer-duck sp.;Tachyeres sp.
Crested Duck;Lophonetta specularioides
Spectacled Duck;Speculanas specularis
Muscovy Duck;Cairina moschata
Muscovy Duck (Domestic type);Cairina moschata (Domestic type)
Egyptian Goose x Muscovy Duck (hybrid);Alopochen aegyptiaca x Cairina moschata
Green Pygmy-Goose;Nettapus pulchellus
Cotton Pygmy-Goose;Nettapus coromandelianus
Green/Cotton Pygmy-Goose;Nettapus pulchellus/coromandelianus
African Pygmy-Goose;Nettapus auritus
Ringed Teal;Callonetta leucophrys
Wood Duck;Aix sponsa
Common Shelduck x Wood Duck (hybrid);Tadorna tadorna x Aix sponsa
Mandarin Duck;Aix galericulata
Wood x Mandarin Duck (hybrid);Aix sponsa x galericulata
Maned Duck;Chenonetta jubata
Finsch's Duck;Chenonetta finschi
Brazilian Teal;Amazonetta brasiliensis
Wood Duck x Brazilian Teal (hybrid);Aix sponsa x Amazonetta brasiliensis
Blue Duck;Hymenolaimus malacorhynchos
Torrent Duck;Merganetta armata
Torrent Duck (Colombian);Merganetta armata leucogenis/colombiana
Torrent Duck (Black-bellied);Merganetta armata turneri
Torrent Duck (Bolivian);Merganetta armata garleppi/berlepschi
Torrent Duck (Patagonian);Merganetta armata armata
Salvadori's Teal;Salvadorina waigiuensis
Baikal Teal;Sibirionetta formosa
Garganey;Spatula querquedula
Blue-billed Teal;Spatula hottentota
Silver Teal;Spatula versicolor
Puna Teal;Spatula puna
Blue-winged Teal;Spatula discors
Baikal x Blue-winged Teal (hybrid);Sibirionetta formosa x Spatula discors
Cinnamon Teal;Spatula cyanoptera
Cinnamon Teal (Northern);Spatula cyanoptera septentrionalium
Cinnamon Teal (Andean);Spatula cyanoptera [orinoma Group]
Cinnamon Teal (Southern);Spatula cyanoptera cyanoptera
Blue-winged x Cinnamon Teal (hybrid);Spatula discors x cyanoptera
Blue-winged/Cinnamon Teal;Spatula discors/cyanoptera
Red Shoveler;Spatula platalea
Cape Shoveler;Spatula smithii
Australasian Shoveler;Spatula rhynchotis
Northern Shoveler;Spatula clypeata
Garganey x Northern Shoveler (hybrid);Spatula querquedula x clypeata
Blue-winged Teal x Northern Shoveler (hybrid);Spatula discors x clypeata
Cinnamon Teal x Northern Shoveler (hybrid);Spatula cyanoptera x clypeata
Gadwall;Mareca strepera
Gadwall (Common);Mareca strepera strepera
Gadwall (Coues's);Mareca strepera couesi
Northern Shoveler x Gadwall (hybrid);Spatula clypeata x Mareca strepera
Falcated Duck;Mareca falcata
Baikal Teal x Falcated Duck (hybrid);Sibirionetta formosa x Mareca falcata
Gadwall x Falcated Duck (hybrid);Mareca strepera x falcata
Eurasian Wigeon;Mareca penelope
Baikal Teal x Eurasian Wigeon (hybrid);Sibirionetta formosa x Mareca penelope
Northern Shoveler x Eurasian Wigeon (hybrid);Spatula clypeata x Mareca penelope
Gadwall x Eurasian Wigeon (hybrid);Mareca strepera x penelope
Falcated Duck x Eurasian Wigeon (hybrid);Mareca falcata x penelope
American Wigeon;Mareca americana
Wood Duck x American Wigeon (hybrid);Aix sponsa x Mareca americana
Blue-winged Teal x American Wigeon (hybrid);Spatula discors x Mareca americana
Northern Shoveler x American Wigeon (hybrid);Spatula clypeata x Mareca americana
Gadwall x American Wigeon (hybrid);Mareca strepera x americana
Eurasian x American Wigeon (hybrid);Mareca penelope x americana
Eurasian/American Wigeon;Mareca penelope/americana
Chiloe Wigeon;Mareca sibilatrix
Eurasian x Chiloe Wigeon (hybrid);Mareca penelope x sibilatrix
Amsterdam Duck;Mareca marecula
African Black Duck;Anas sparsa
Yellow-billed Duck;Anas undulata
Meller's Duck;Anas melleri
Pacific Black Duck;Anas superciliosa
Laysan Duck;Anas laysanensis
Hawaiian Duck;Anas wyvilliana
Philippine Duck;Anas luzonica
Indian Spot-billed Duck;Anas poecilorhyncha
Eastern Spot-billed Duck;Anas zonorhyncha
Indian/Eastern Spot-billed Duck;Anas poecilorhyncha/zonorhyncha
Mallard;Anas platyrhynchos
Mallard (Domestic type);Anas platyrhynchos (Domestic type)
Egyptian Goose x Mallard (hybrid);Alopochen aegyptiaca x Anas platyrhynchos
Ruddy Shelduck x Mallard (hybrid);Tadorna ferruginea x Anas platyrhynchos
Muscovy Duck x Mallard (hybrid);Cairina moschata x Anas platyrhynchos
Wood Duck x Mallard (hybrid);Aix sponsa x Anas platyrhynchos
Northern Shoveler x Mallard (hybrid);Spatula clypeata x Anas platyrhynchos
Gadwall x Mallard (hybrid);Mareca strepera x Anas platyrhynchos
Falcated Duck x Mallard (hybrid);Mareca falcata x Anas platyrhynchos
Eurasian Wigeon x Mallard (hybrid);Mareca penelope x Anas platyrhynchos
American Wigeon x Mallard (hybrid);Mareca americana x Anas platyrhynchos
African Black Duck x Mallard (hybrid);Anas sparsa x platyrhynchos
Yellow-billed Duck x Mallard (hybrid);Anas undulata x platyrhynchos
Pacific Black Duck x Mallard (hybrid);Anas superciliosa x platyrhynchos
Hawaiian Duck x Mallard (hybrid);Anas wyvilliana x platyrhynchos
Indian Spot-billed Duck x Mallard (hybrid);Anas poecilorhyncha x platyrhynchos
Eastern Spot-billed Duck x Mallard (hybrid);Anas zonorhyncha x platyrhynchos
Pacific Black Duck/Mallard;Anas superciliosa/platyrhynchos
Hawaiian Duck/Mallard;Anas wyvilliana/platyrhynchos
Indian Spot-billed Duck/Mallard;Anas poecilorhyncha/platyrhynchos
Eastern Spot-billed Duck/Mallard;Anas zonorhyncha/platyrhynchos
Mexican Duck;Anas diazi
Mallard x Mexican Duck (hybrid);Anas platyrhynchos x diazi
Mallard/Mexican Duck;Anas platyrhynchos/diazi
American Black Duck;Anas rubripes
American Wigeon x American Black Duck (hybrid);Mareca americana x Anas rubripes
Mallard x American Black Duck (hybrid);Anas platyrhynchos x rubripes
Mallard/American Black Duck;Anas platyrhynchos/rubripes
Mottled Duck;Anas fulvigula
Mottled Duck (Florida);Anas fulvigula fulvigula
Mottled Duck (Gulf Coast);Anas fulvigula maculosa
Mallard x Mottled Duck (hybrid);Anas platyrhynchos x fulvigula
Mallard x Mexican/Mottled Duck (hybrid);Anas platyrhynchos x diazi/fulvigula
Mexican x Mottled Duck (hybrid);Anas diazi x fulvigula
Mallard/Mottled Duck;Anas platyrhynchos/fulvigula
Mexican/Mottled Duck;Anas diazi/fulvigula
American Black/Mottled Duck;Anas rubripes/fulvigula
Cape Teal;Anas capensis
White-cheeked Pintail;Anas bahamensis
